T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
792,Türkiye,2019,Current health expenditure (% of GDP),4.4,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2020,Current health expenditure (% of GDP),4.6,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2021,Current health expenditure (% of GDP),4.6,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2005,Domestic general government health expenditure (% of total government expenditure),10.3,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2010,Domestic general government health expenditure (% of total government expenditure),10.9,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2015,Domestic general government health expenditure (% of total government expenditure),9.7,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2019,Domestic general government health expenditure (% of total government expenditure),9.5,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2020,Domestic general government health expenditure (% of total government expenditure),10.7,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
792,Türkiye,2021,Domestic general government health expenditure (% of total government expenditure),11.5,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2005,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2010,Current health expenditure (% of GDP),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2015,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2019,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2020,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2021,Current health expenditure (% of GDP),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2005,Domestic general government health expenditure (% of total government expenditure),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2010,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2015,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2019,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2020,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
795,Turkmenistan,2021,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2005,Current health expenditure (% of GDP),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2010,Current health expenditure (% of GDP),15.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2015,Current health expenditure (% of GDP),13.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2019,Current health expenditure (% of GDP),22.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2020,Current health expenditure (% of GDP),18.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2021,Current health expenditure (% of GDP),20.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2005,Domestic general government health expenditure (% of total government expenditure),11.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2010,Domestic general government health expenditure (% of total government expenditure),14.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2015,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2019,Domestic general government health expenditure (% of total government expenditure),15.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2020,Domestic general government health expenditure (% of total government expenditure),12.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
798,Tuvalu,2021,Domestic general government health expenditure (% of total government expenditure),8.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
800,Uganda,2005,Current health expenditure (% of GDP),5.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
800,Uganda,2010,Current health expenditure (% of GDP),6.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
800,Uganda,2015,Current health expenditure (% of GDP),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
800,Uganda,2019,Current health expenditure (% of GDP),3.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
800,Uganda,2020,Current health expenditure (% of GDP),4.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
